,ID,best_score,best_params
157,V3_fc8_Subj3,0.6068027210884354,"{'max_iter': 100, 'C': 5}"
158,V3_fc8_Subj4,0.6040816326530613,"{'max_iter': 50, 'C': 10}"
159,V3_fc8_Subj5,0.47482993197278917,"{'max_iter': 500, 'C': 1}"
160,V4_conv1_Subj1,0.24625850340136055,"{'max_iter': 100, 'C': 5}"
161,V4_conv1_Subj2,0.26258503401360545,"{'max_iter': 500, 'C': 5}"
162,V4_conv1_Subj3,0.2585034013605442,"{'max_iter': 100, 'C': 10}"
163,V4_conv1_Subj4,0.2979591836734694,"{'max_iter': 500, 'C': 10}"
164,V4_conv1_Subj5,0.17414965986394557,"{'max_iter': 100, 'C': 1}"
165,V4_conv2_Subj1,0.3986394557823129,"{'max_iter': 500, 'C': 10}"
166,V4_conv2_Subj2,0.36054421768707484,"{'max_iter': 500, 'C': 1}"
167,V4_conv2_Subj3,0.48843537414965993,"{'max_iter': 500, 'C': 5}"
168,V4_conv2_Subj4,0.39727891156462586,"{'max_iter': 500, 'C': 1}"
169,V4_conv2_Subj5,0.2816326530612245,"{'max_iter': 500, 'C': 1}"
170,V4_conv3_Subj1,0.4911564625850341,"{'max_iter': 50, 'C': 5}"
171,V4_conv3_Subj2,0.4326530612244898,"{'max_iter': 50, 'C': 1}"
172,V4_conv3_Subj3,0.5727891156462585,"{'max_iter': 500, 'C': 10}"
173,V4_conv3_Subj4,0.43401360544217693,"{'max_iter': 100, 'C': 5}"
174,V4_conv3_Subj5,0.3986394557823129,"{'max_iter': 10, 'C': 10}"
175,V4_conv4_Subj1,0.5346938775510204,"{'max_iter': 50, 'C': 1}"
176,V4_conv4_Subj2,0.4312925170068027,"{'max_iter': 500, 'C': 5}"
177,V4_conv4_Subj3,0.5986394557823129,"{'max_iter': 100, 'C': 10}"
178,V4_conv4_Subj4,0.4503401360544218,"{'max_iter': 500, 'C': 5}"
179,V4_conv4_Subj5,0.4,"{'max_iter': 10, 'C': 1}"
180,V4_conv5_Subj1,0.5401360544217687,"{'max_iter': 50, 'C': 5}"
181,V4_conv5_Subj2,0.4448979591836735,"{'max_iter': 50, 'C': 5}"
182,V4_conv5_Subj3,0.5904761904761904,"{'max_iter': 500, 'C': 10}"
183,V4_conv5_Subj4,0.436734693877551,"{'max_iter': 50, 'C': 10}"
184,V4_conv5_Subj5,0.39999999999999997,"{'max_iter': 50, 'C': 5}"
185,V4_fc6_Subj1,0.4789115646258503,"{'max_iter': 50, 'C': 10}"
186,V4_fc6_Subj2,0.4068027210884354,"{'max_iter': 100, 'C': 1}"
187,V4_fc6_Subj3,0.5210884353741497,"{'max_iter': 100, 'C': 1}"
188,V4_fc6_Subj4,0.4340136054421769,"{'max_iter': 100, 'C': 5}"
189,V4_fc6_Subj5,0.4108843537414966,"{'max_iter': 100, 'C': 5}"
190,V4_fc7_Subj1,0.436734693877551,"{'max_iter': 100, 'C': 1}"
191,V4_fc7_Subj2,0.38367346938775515,"{'max_iter': 50, 'C': 5}"
192,V4_fc7_Subj3,0.4802721088435375,"{'max_iter': 500, 'C': 5}"
193,V4_fc7_Subj4,0.4027210884353742,"{'max_iter': 50, 'C': 10}"
194,V4_fc7_Subj5,0.38231292517006804,"{'max_iter': 10, 'C': 1}"
195,V4_fc8_Subj1,0.4108843537414965,"{'max_iter': 500, 'C': 1}"
196,V4_fc8_Subj2,0.3442176870748299,"{'max_iter': 50, 'C': 5}"
197,V4_fc8_Subj3,0.4285714285714285,"{'max_iter': 50, 'C': 5}"
198,V4_fc8_Subj4,0.3537414965986394,"{'max_iter': 50, 'C': 10}"
199,V4_fc8_Subj5,0.3836734693877551,"{'max_iter': 50, 'C': 10}"
200,PPA_conv1_Subj1,0.13197278911564628,"{'max_iter': 500, 'C': 10}"
201,PPA_conv1_Subj2,0.10204081632653061,"{'max_iter': 50, 'C': 10}"
202,PPA_conv1_Subj3,0.14829931972789115,"{'max_iter': 100, 'C': 5}"
203,PPA_conv1_Subj4,0.08979591836734695,"{'max_iter': 50, 'C': 1}"
204,PPA_conv1_Subj5,0.08163265306122448,"{'max_iter': 50, 'C': 1}"
205,PPA_conv2_Subj1,0.1727891156462585,"{'max_iter': 100, 'C': 1}"
206,PPA_conv2_Subj2,0.12789115646258503,"{'max_iter': 100, 'C': 1}"
207,PPA_conv2_Subj3,0.1850340136054422,"{'max_iter': 100, 'C': 10}"
208,PPA_conv2_Subj4,0.12789115646258503,"{'max_iter': 10, 'C': 1}"
209,PPA_conv2_Subj5,0.11292517006802723,"{'max_iter': 100, 'C': 1}"
210,PPA_conv3_Subj1,0.22448979591836735,"{'max_iter': 10, 'C': 5}"
211,PPA_conv3_Subj2,0.12380952380952381,"{'max_iter': 50, 'C': 10}"
212,PPA_conv3_Subj3,0.22993197278911565,"{'max_iter': 100, 'C': 5}"
213,PPA_conv3_Subj4,0.11972789115646257,"{'max_iter': 10, 'C': 1}"
214,PPA_conv3_Subj5,0.13061224489795917,"{'max_iter': 10, 'C': 10}"
215,PPA_conv4_Subj1,0.2231292517006803,"{'max_iter': 10, 'C': 5}"
216,PPA_conv4_Subj2,0.12244897959183675,"{'max_iter': 500, 'C': 5}"
217,PPA_conv4_Subj3,0.22448979591836735,"{'max_iter': 10, 'C': 1}"
218,PPA_conv4_Subj4,0.11972789115646257,"{'max_iter': 100, 'C': 10}"
219,PPA_conv4_Subj5,0.14557823129251699,"{'max_iter': 100, 'C': 1}"
220,PPA_conv5_Subj1,0.23537414965986395,"{'max_iter': 50, 'C': 5}"
221,PPA_conv5_Subj2,0.14421768707482993,"{'max_iter': 10, 'C': 1}"
222,PPA_conv5_Subj3,0.236734693877551,"{'max_iter': 10, 'C': 10}"
223,PPA_conv5_Subj4,0.10748299319727891,"{'max_iter': 50, 'C': 10}"
224,PPA_conv5_Subj5,0.12925170068027209,"{'max_iter': 100, 'C': 5}"
225,PPA_fc6_Subj1,0.2530612244897959,"{'max_iter': 100, 'C': 5}"
226,PPA_fc6_Subj2,0.14421768707482993,"{'max_iter': 100, 'C': 1}"
227,PPA_fc6_Subj3,0.2489795918367347,"{'max_iter': 10, 'C': 10}"
228,PPA_fc6_Subj4,0.14557823129251699,"{'max_iter': 10, 'C': 1}"
229,PPA_fc6_Subj5,0.15238095238095234,"{'max_iter': 10, 'C': 1}"
230,PPA_fc7_Subj1,0.25578231292517006,"{'max_iter': 50, 'C': 10}"
231,PPA_fc7_Subj2,0.14965986394557823,"{'max_iter': 10, 'C': 1}"
232,PPA_fc7_Subj3,0.2693877551020408,"{'max_iter': 50, 'C': 1}"
233,PPA_fc7_Subj4,0.13741496598639455,"{'max_iter': 10, 'C': 10}"
234,PPA_fc7_Subj5,0.15374149659863945,"{'max_iter': 10, 'C': 10}"
235,PPA_fc8_Subj1,0.2639455782312925,"{'max_iter': 100, 'C': 1}"
236,PPA_fc8_Subj2,0.1469387755102041,"{'max_iter': 100, 'C': 1}"
237,PPA_fc8_Subj3,0.2653061224489796,"{'max_iter': 10, 'C': 5}"
238,PPA_fc8_Subj4,0.1346938775510204,"{'max_iter': 10, 'C': 10}"
239,PPA_fc8_Subj5,0.14965986394557823,"{'max_iter': 500, 'C': 5}"
240,LOC_conv1_Subj1,0.23809523809523808,"{'max_iter': 100, 'C': 10}"
241,LOC_conv1_Subj2,0.182312925170068,"{'max_iter': 500, 'C': 5}"
242,LOC_conv1_Subj3,0.25578231292517006,"{'max_iter': 500, 'C': 5}"
243,LOC_conv1_Subj4,0.219047619047619,"{'max_iter': 100, 'C': 10}"
244,LOC_conv1_Subj5,0.12108843537414966,"{'max_iter': 500, 'C': 5}"
245,LOC_conv2_Subj1,0.3482993197278912,"{'max_iter': 500, 'C': 10}"
246,LOC_conv2_Subj2,0.2802721088435374,"{'max_iter': 500, 'C': 10}"
247,LOC_conv2_Subj3,0.29387755102040813,"{'max_iter': 100, 'C': 5}"
248,LOC_conv2_Subj4,0.21632653061224488,"{'max_iter': 100, 'C': 10}"
249,LOC_conv2_Subj5,0.1687074829931973,"{'max_iter': 500, 'C': 1}"
250,LOC_conv3_Subj1,0.4993197278911565,"{'max_iter': 500, 'C': 10}"
251,LOC_conv3_Subj2,0.3251700680272109,"{'max_iter': 50, 'C': 10}"
252,LOC_conv3_Subj3,0.39183673469387753,"{'max_iter': 50, 'C': 5}"
253,LOC_conv3_Subj4,0.2802721088435374,"{'max_iter': 50, 'C': 5}"
254,LOC_conv3_Subj5,0.2380952380952381,"{'max_iter': 50, 'C': 10}"
255,LOC_conv4_Subj1,0.4789115646258503,"{'max_iter': 50, 'C': 1}"
256,LOC_conv4_Subj2,0.33877551020408164,"{'max_iter': 500, 'C': 10}"
257,LOC_conv4_Subj3,0.4326530612244898,"{'max_iter': 50, 'C': 10}"
258,LOC_conv4_Subj4,0.29251700680272114,"{'max_iter': 50, 'C': 10}"
259,LOC_conv4_Subj5,0.22721088435374148,"{'max_iter': 100, 'C': 5}"
260,LOC_conv5_Subj1,0.5115646258503401,"{'max_iter': 500, 'C': 5}"
261,LOC_conv5_Subj2,0.3782312925170069,"{'max_iter': 500, 'C': 5}"
262,LOC_conv5_Subj3,0.4136054421768708,"{'max_iter': 50, 'C': 10}"
263,LOC_conv5_Subj4,0.3020408163265306,"{'max_iter': 50, 'C': 1}"
264,LOC_conv5_Subj5,0.2476190476190476,"{'max_iter': 50, 'C': 5}"
265,LOC_fc6_Subj1,0.5646258503401361,"{'max_iter': 500, 'C': 5}"
266,LOC_fc6_Subj2,0.4068027210884354,"{'max_iter': 100, 'C': 1}"
267,LOC_fc6_Subj3,0.4163265306122449,"{'max_iter': 500, 'C': 5}"
268,LOC_fc6_Subj4,0.3061224489795919,"{'max_iter': 100, 'C': 5}"
269,LOC_fc6_Subj5,0.24761904761904763,"{'max_iter': 100, 'C': 10}"
270,LOC_fc7_Subj1,0.5292517006802722,"{'max_iter': 50, 'C': 10}"
271,LOC_fc7_Subj2,0.3891156462585034,"{'max_iter': 500, 'C': 1}"
272,LOC_fc7_Subj3,0.39319727891156464,"{'max_iter': 500, 'C': 1}"
273,LOC_fc7_Subj4,0.31700680272108844,"{'max_iter': 50, 'C': 1}"
274,LOC_fc7_Subj5,0.22448979591836735,"{'max_iter': 100, 'C': 10}"
275,LOC_fc8_Subj1,0.5034013605442176,"{'max_iter': 50, 'C': 10}"
276,LOC_fc8_Subj2,0.3768707482993197,"{'max_iter': 50, 'C': 10}"
277,LOC_fc8_Subj3,0.40544217687074824,"{'max_iter': 100, 'C': 10}"
278,LOC_fc8_Subj4,0.3156462585034014,"{'max_iter': 50, 'C': 1}"
279,LOC_fc8_Subj5,0.23265306122448978,"{'max_iter': 10, 'C': 1}"
280,FFA_conv1_Subj1,0.1292517006802721,"{'max_iter': 100, 'C': 10}"
281,FFA_conv1_Subj2,0.09115646258503403,"{'max_iter': 500, 'C': 1}"
282,FFA_conv1_Subj3,0.20136054421768712,"{'max_iter': 100, 'C': 5}"
283,FFA_conv1_Subj4,0.10748299319727893,"{'max_iter': 50, 'C': 10}"
284,FFA_conv1_Subj5,0.14149659863945577,"{'max_iter': 500, 'C': 5}"
285,FFA_conv2_Subj1,0.14421768707482993,"{'max_iter': 500, 'C': 1}"
286,FFA_conv2_Subj2,0.091156462585034,"{'max_iter': 500, 'C': 1}"
287,FFA_conv2_Subj3,0.22448979591836735,"{'max_iter': 100, 'C': 10}"
288,FFA_conv2_Subj4,0.10476190476190475,"{'max_iter': 100, 'C': 5}"
289,FFA_conv2_Subj5,0.21088435374149658,"{'max_iter': 100, 'C': 10}"
290,FFA_conv3_Subj1,0.1945578231292517,"{'max_iter': 50, 'C': 5}"
291,FFA_conv3_Subj2,0.10748299319727891,"{'max_iter': 100, 'C': 1}"
292,FFA_conv3_Subj3,0.2925170068027211,"{'max_iter': 100, 'C': 5}"
293,FFA_conv3_Subj4,0.12108843537414966,"{'max_iter': 500, 'C': 1}"
294,FFA_conv3_Subj5,0.25578231292517006,"{'max_iter': 500, 'C': 10}"
295,FFA_conv4_Subj1,0.17687074829931973,"{'max_iter': 50, 'C': 5}"
296,FFA_conv4_Subj2,0.11156462585034013,"{'max_iter': 10, 'C': 1}"
297,FFA_conv4_Subj3,0.28435374149659864,"{'max_iter': 50, 'C': 10}"
298,FFA_conv4_Subj4,0.1183673469387755,"{'max_iter': 10, 'C': 1}"
299,FFA_conv4_Subj5,0.27346938775510204,"{'max_iter': 100, 'C': 5}"
300,FFA_conv5_Subj1,0.19183673469387755,"{'max_iter': 10, 'C': 5}"
301,FFA_conv5_Subj2,0.10068027210884355,"{'max_iter': 50, 'C': 5}"
302,FFA_conv5_Subj3,0.2938775510204082,"{'max_iter': 500, 'C': 1}"
303,FFA_conv5_Subj4,0.11700680272108842,"{'max_iter': 10, 'C': 5}"
304,FFA_conv5_Subj5,0.2761904761904762,"{'max_iter': 100, 'C': 10}"
305,FFA_fc6_Subj1,0.21360544217687077,"{'max_iter': 10, 'C': 5}"
306,FFA_fc6_Subj2,0.108843537414966,"{'max_iter': 50, 'C': 10}"
307,FFA_fc6_Subj3,0.28843537414965986,"{'max_iter': 10, 'C': 5}"
308,FFA_fc6_Subj4,0.11700680272108843,"{'max_iter': 50, 'C': 1}"
309,FFA_fc6_Subj5,0.30748299319727895,"{'max_iter': 10, 'C': 1}"
310,FFA_fc7_Subj1,0.18639455782312922,"{'max_iter': 500, 'C': 1}"
311,FFA_fc7_Subj2,0.10476190476190476,"{'max_iter': 10, 'C': 10}"
312,FFA_fc7_Subj3,0.2802721088435374,"{'max_iter': 10, 'C': 5}"
313,FFA_fc7_Subj4,0.11020408163265306,"{'max_iter': 50, 'C': 1}"
314,FFA_fc7_Subj5,0.3034013605442177,"{'max_iter': 50, 'C': 5}"
315,FFA_fc8_Subj1,0.2013605442176871,"{'max_iter': 50, 'C': 10}"
316,FFA_fc8_Subj2,0.10748299319727891,"{'max_iter': 10, 'C': 10}"
317,FFA_fc8_Subj3,0.2802721088435374,"{'max_iter': 100, 'C': 5}"
318,FFA_fc8_Subj4,0.11156462585034013,"{'max_iter': 50, 'C': 10}"
319,FFA_fc8_Subj5,0.3020408163265306,"{'max_iter': 100, 'C': 1}"
